id,price,speed,hd,ram,screen,cores,cd,laptop,trend
156,4069,37,7,20,21,24,no,no,4
157,1249,15,16,10,21,10,no,no,2
158,1126,15,20,6,12,10,no,yes,2
159,3482,36,5,52,15,28,no,no,4
160,535,19,16,2,12,8,no,yes,1
161,3802,33,7,48,21,28,no,no,4
162,3169,39,5,28,23,28,no,no,5
163,3569,33,3,28,23,12,no,no,2
164,3604,36,3,56,15,26,yes,no,5
165,3626,34,5,24,23,28,no,no,4
166,2776,17,8,6,17,12,yes,no,2
167,2323,20,24,2,21,14,no,no,2
168,3235,30,5,28,17,24,no,no,5
169,2159,23,20,2,15,14,no,no,1
170,1618,24,16,14,23,8,no,no,1
171,866,22,28,2,11,10,no,yes,2
172,1009,18,28,14,13,4,no,yes,1
173,2079,15,24,6,17,28,no,no,5
174,2164,15,8,2,23,24,yes,no,4
175,2568,16,24,6,21,14,yes,no,1
176,2787,19,8,6,23,30,no,no,4
177,1464,19,28,14,19,4,yes,no,2
178,2304,19,24,2,17,28,yes,no,5
179,2899,23,20,2,23,18,no,no,5
180,1287,21,28,6,21,10,no,no,2
181,3841,39,3,48,17,24,no,no,5
182,1190,20,12,6,12,4,no,yes,1
183,1685,15,8,10,23,10,no,no,1
184,3736,32,1,28,19,12,yes,no,2
185,2919,21,16,10,17,26,no,no,5
186,2835,17,8,14,17,12,no,no,1
187,3177,30,1,60,23,28,no,no,4
188,2741,22,28,6,21,22,no,no,5
189,2986,22,8,10,19,16,no,no,2
190,852,16,16,10,11,4,yes,no,2
191,1425,15,12,14,15,6,no,no,1
192,2225,16,12,6,23,22,no,no,4
193,997,18,20,14,13,4,no,yes,2
194,2012,16,20,10,21,14,yes,no,1
195,4087,37,1,56,15,28,no,no,5
196,3036,39,7,40,15,20,yes,no,5
197,2369,17,20,6,21,28,no,no,4
198,805,16,16,2,12,6,no,yes,2
199,2572,16,16,2,23,24,yes,no,4
200,2270,24,16,10,21,14,no,no,2
201,615,23,8,2,12,4,no,yes,1
202,2085,20,16,10,15,16,no,no,1
203,2587,22,24,6,21,22,no,no,5
204,3181,31,7,56,17,26,no,no,4
205,2895,18,16,14,21,18,no,no,4
206,1274,22,8,6,23,8,no,no,1
207,1417,20,24,10,17,8,no,no,1
208,2456,22,24,2,21,30,yes,no,5
209,646,16,16,10,12,10,no,yes,2
210,2527,24,28,2,19,18,no,no,5
211,3660,38,1,28,15,26,yes,no,5
212,2521,18,24,2,19,12,no,no,2
213,3246,35,3,60,23,12,no,no,1
214,2572,20,24,2,15,12,yes,no,2
215,1257,23,16,14,15,4,no,no,1
216,1636,15,28,14,23,8,yes,no,2
217,3174,31,5,52,21,24,no,no,5
218,4338,30,5,16,17,22,no,no,5
219,2922,16,16,14,17,22,no,no,5
220,1413,23,28,14,17,4,no,no,2
221,2561,18,16,14,23,28,no,no,5
222,3842,39,5,24,21,16,no,no,2
223,3204,37,1,60,23,22,yes,no,5
224,3952,39,7,44,15,12,yes,no,1
225,3588,31,3,32,23,28,yes,no,4
226,3198,35,5,32,19,18,no,no,5
227,2327,20,16,14,21,28,no,no,5
228,1472,22,12,6,19,8,yes,no,2
229,1488,22,16,14,19,6,yes,no,1
230,1567,22,20,2,15,6,no,no,2
231,3532,37,7,16,23,20,yes,no,5
232,4227,39,5,32,17,14,no,no,2
233,2810,15,16,14,19,22,no,no,4
234,3453,33,5,20,19,18,no,no,5
235,3209,32,3,56,21,12,no,no,1
236,1017,24,16,6,11,8,no,yes,2
237,1889,21,24,6,19,10,no,no,1
238,2815,22,28,10,17,14,no,no,2
239,2838,23,12,14,19,24,no,no,4
240,1934,20,20,6,23,4,no,no,2
241,3970,32,1,32,15,12,no,no,2
242,2346,17,24,6,15,18,no,no,5
243,4256,39,3,52,17,26,yes,no,5
244,2952,24,28,10,21,22,yes,no,5
245,2461,15,28,10,19,12,no,no,1
246,1993,17,24,10,19,6,no,no,2
247,1293,19,16,6,21,8,no,no,1
248,3977,30,5,36,17,24,no,no,4
249,3351,31,1,20,15,26,no,no,4
250,3413,34,3,16,15,28,no,no,4
251,2116,19,20,10,23,24,yes,no,4
252,691,15,12,10,12,8,no,yes,1
253,2104,24,12,14,21,20,yes,no,4
254,1746,20,12,14,15,6,no,no,2
255,2857,16,24,6,21,28,no,no,5
256,3696,39,3,36,23,12,yes,no,2
257,4163,35,7,60,17,30,no,no,5
258,3211,35,3,32,17,28,no,no,5
259,2176,17,24,6,21,30,yes,no,5
260,1179,22,16,2,11,4,no,yes,1
261,4109,37,3,16,19,20,no,no,4
262,2976,22,20,10,15,22,yes,no,4
263,1501,19,8,10,21,6,no,no,2
264,2654,17,20,10,19,18,no,no,4
265,3245,39,7,44,23,24,no,no,4
266,3777,33,3,24,17,12,no,no,2
267,3568,39,3,20,15,18,yes,no,4
268,2488,21,16,2,17,16,yes,no,1
269,952,16,8,10,13,4,yes,no,2
270,1410,16,28,2,19,8,no,no,1
271,1043,24,20,14,11,6,no,yes,1
272,2921,19,20,10,23,18,no,no,5
273,2776,22,24,14,15,28,yes,no,5
274,1936,21,12,2,17,8,yes,no,1
275,4214,37,5,28,23,20,no,no,5
276,4259,37,5,28,21,26,no,no,5
277,3649,31,1,16,15,22,no,no,5
278,1293,17,12,14,17,6,no,no,1
279,1797,24,16,10,21,6,no,no,2
280,2736,23,8,6,21,18,yes,no,4
281,2403,20,8,14,19,14,no,no,2
282,3653,39,1,40,21,22,no,no,5
283,3072,39,1,56,19,30,yes,no,4
284,1045,19,24,14,12,6,no,yes,2
285,3305,35,1,28,19,16,no,no,1
286,718,23,20,14,11,4,no,yes,1
287,3389,33,7,56,23,28,no,no,5
288,3471,39,5,40,23,14,no,no,2
289,3397,31,3,40,23,24,no,no,5
290,1497,20,8,14,21,6,no,no,2
291,1661,15,16,6,23,8,no,no,1
292,1233,23,12,10,19,4,no,no,2
293,3769,33,7,20,17,18,no,no,5
294,3119,30,5,28,17,24,no,no,4
295,988,19,20,10,11,4,yes,no,2
296,4206,32,3,28,17,20,no,no,5
297,509,15,16,6,12,10,no,yes,1
298,2864,16,28,6,23,26,yes,no,4
299,2112,15,24,6,19,18,yes,no,5
300,4076,34,1,16,21,14,yes,no,2
301,3404,32,7,56,15,22,yes,no,5
302,4037,38,1,32,15,24,no,no,4
303,3296,34,1,24,23,12,yes,no,2
304,990,24,16,14,13,4,no,yes,2
305,3177,35,5,28,15,14,no,no,1
306,1426,22,8,6,19,6,no,no,2
307,3124,35,5,56,21,24,yes,no,4
308,4046,39,3,28,19,14,no,no,2
309,2937,21,28,10,15,26,no,no,4
310,1345,17,24,10,23,4,no,no,1
311,3375,35,7,20,23,24,no,no,4
312,2207,18,24,2,15,20,no,no,4
313,2493,21,28,10,15,20,no,no,4
314,2034,15,20,6,23,14,no,no,1
315,1055,23,24,2,12,10,no,yes,1
316,2527,19,16,10,21,28,no,no,5
317,957,17,16,14,12,4,no,yes,1
318,3035,32,1,24,19,16,no,no,2
319,3868,34,1,28,23,26,yes,no,5
320,4320,36,5,36,19,16,yes,no,2
321,3385,36,7,32,17,24,no,no,5
322,2864,22,8,6,15,30,yes,no,5
323,3502,37,3,60,17,20,no,no,5
324,1773,24,12,6,15,6,no,no,2
325,3084,35,7,36,21,26,yes,no,4
326,1631,24,28,14,23,6,no,no,1
327,675,15,24,10,13,6,no,yes,1
328,3930,31,1,16,23,28,no,no,5
329,2368,24,16,14,19,12,yes,no,1
330,1272,17,28,2,19,4,yes,no,2
331,3971,33,3,60,15,24,no,no,4
332,1453,15,8,10,21,4,no,no,1
333,1426,19,28,10,15,8,no,no,2
334,1956,23,16,10,17,10,yes,no,2
335,2232,24,20,10,15,18,yes,no,5
336,3713,35,1,24,15,14,no,no,2
337,2075,17,8,10,17,14,no,no,1
338,1137,20,28,2,12,4,no,yes,2
339,804,23,12,2,13,10,yes,no,2
340,617,16,24,6,11,4,no,yes,1
341,1988,24,28,10,23,10,yes,no,2
342,2015,24,12,2,23,12,no,no,2
343,913,20,16,2,11,4,no,yes,2
344,1810,18,16,6,21,10,no,no,1
345,3062,39,7,40,23,18,no,no,4
346,747,17,24,10,13,10,no,yes,1
347,1469,20,24,14,15,8,no,no,1
348,3992,34,7,52,17,30,yes,no,4
349,4323,35,7,60,15,28,no,no,4
350,3808,32,7,28,17,20,yes,no,4
351,618,22,28,10,13,8,no,yes,1
352,3249,35,1,28,23,24,no,no,4
353,1715,16,16,14,19,10,no,no,2
354,2617,15,12,2,23,30,no,no,4
355,1225,17,24,14,23,10,no,no,1
356,3393,36,7,28,19,22,no,no,4
357,3007,38,5,60,19,22,no,no,4
358,4005,31,1,32,21,12,no,no,2
359,3957,37,1,16,19,18,no,no,4
360,3475,35,5,16,17,18,no,no,5
361,784,18,20,14,12,6,yes,no,1
362,2202,21,8,2,23,24,no,no,4
363,4134,37,1,60,17,16,no,no,1
364,3159,31,1,36,17,18,no,no,5
365,3406,31,5,32,21,22,no,no,4
366,838,17,20,14,13,8,no,yes,1
367,3224,38,3,52,17,26,yes,no,4
368,3471,32,7,24,21,28,no,no,5
369,557,24,16,10,13,10,no,yes,1
370,4315,36,5,48,19,28,no,no,5
371,4112,35,5,36,17,30,yes,no,5
372,2844,16,20,6,19,18,yes,no,4
373,2605,21,24,14,15,22,no,no,4
374,3141,33,7,60,23,22,no,no,5
375,1173,22,12,10,12,4,no,yes,2
376,1347,21,16,14,23,6,no,no,2
377,2403,18,28,14,15,26,no,no,4
378,4057,35,1,36,21,20,no,no,5
379,1784,21,20,2,23,10,yes,no,1
380,1306,22,12,14,17,8,no,no,1
381,2114,18,28,10,15,16,no,no,2
382,2176,23,12,10,23,22,yes,no,4
383,3430,36,5,56,19,30,no,no,5
384,3773,36,3,44,19,14,no,no,1
385,3674,38,3,24,23,26,no,no,5
386,2375,17,20,10,23,16,no,no,1
387,796,21,12,2,12,4,yes,no,2
388,2691,16,8,14,19,30,no,no,5
389,632,19,12,2,12,4,yes,no,2
390,1019,21,24,10,12,8,no,yes,1
391,3378,35,5,24,17,12,no,no,2
392,3035,36,1,32,21,20,no,no,4
393,2376,23,20,2,17,20,yes,no,5
394,1348,19,20,2,15,8,yes,no,2
395,856,17,16,6,12,10,yes,no,1
396,2669,20,16,10,23,24,no,no,5
397,3531,39,5,40,15,26,no,no,4
398,840,23,28,2,12,4,yes,no,1
399,4180,35,7,20,21,20,yes,no,4
400,686,20,16,14,13,4,no,yes,1
401,1286,21,8,2,17,8,no,no,2
402,822,17,24,10,11,8,no,yes,2
403,3919,30,5,20,17,24,no,no,5
404,1521,20,24,10,15,8,no,no,1
405,2740,16,24,2,21,20,yes,no,5
406,4242,31,7,24,19,14,no,no,2
407,723,19,8,2,11,8,no,yes,1
408,1865,17,16,6,21,4,no,no,1
409,3958,31,1,60,23,16,no,no,1
410,4307,39,5,28,23,30,no,no,5
411,4044,30,7,44,15,20,yes,no,4
412,1393,15,20,14,19,8,no,no,1
413,2496,18,20,6,19,28,yes,no,4
414,4314,39,1,52,21,30,no,no,5
415,4176,34,5,20,19,16,yes,no,1
416,979,23,12,6,13,8,no,yes,1
417,2152,17,28,6,21,20,yes,no,4
418,4103,38,5,44,21,28,no,no,4
419,2025,15,24,14,21,26,no,no,4
420,1434,19,24,6,23,6,no,no,1
421,964,24,24,14,12,4,yes,no,2
422,2510,24,20,10,23,26,no,no,5
423,1662,20,8,10,19,8,no,no,1
424,1027,16,12,2,13,4,no,yes,2
425,2159,18,8,14,21,26,no,no,5
426,3057,31,5,56,23,12,no,no,1
427,2511,15,8,6,23,26,no,no,5
428,3361,36,7,32,21,16,no,no,2
429,3159,32,1,28,15,22,no,no,5
430,2530,15,24,2,23,24,no,no,5
431,1546,18,12,2,19,4,no,no,1
432,803,21,24,6,11,6,no,yes,2
433,1101,23,16,6,11,4,no,yes,2
434,2875,19,8,14,17,22,no,no,4
435,2930,18,24,2,23,12,no,no,2
436,766,24,8,14,12,8,no,yes,2
437,2229,20,24,2,23,18,no,no,4
438,3891,30,5,48,23,18,no,no,5
439,720,24,24,6,13,6,yes,no,1
440,3096,39,3,36,15,28,yes,no,5
441,2295,16,24,10,15,30,no,no,5
442,2010,20,8,6,21,18,no,no,4
443,2666,23,12,6,19,30,no,no,5
444,1038,16,8,2,11,6,no,yes,2
445,3161,33,3,28,15,14,no,no,2
446,976,20,12,10,13,6,yes,no,2
447,1493,15,12,10,21,4,no,no,2
448,2090,23,16,14,19,14,no,no,1
449,3319,33,3,36,15,14,no,no,1
450,2366,22,24,14,15,20,no,no,4
451,1296,15,8,2,19,6,yes,no,1
452,563,21,28,6,12,10,no,yes,1
453,1580,17,28,2,19,4,yes,no,2
454,1974,24,8,6,21,8,no,no,2
455,1169,22,20,14,13,10,no,yes,1
456,1904,20,16,14,19,10,yes,no,2
457,3415,38,7,56,23,26,no,no,4
458,3912,37,1,24,19,16,yes,no,2
459,2629,23,12,6,21,20,no,no,5
460,1738,19,24,14,19,8,no,no,1
461,3466,33,3,40,17,20,no,no,4
462,1501,19,24,14,19,4,no,no,1
463,672,23,8,2,13,4,yes,no,2
464,1652,20,28,6,17,6,yes,no,2
465,3659,35,1,28,23,26,no,no,4
466,4064,33,1,36,17,14,yes,no,1
467,3508,36,7,60,15,30,yes,no,4
468,565,21,28,6,12,10,no,yes,1
469,3853,30,7,28,19,26,no,no,5
470,4199,36,3,60,15,20,no,no,5
471,2092,23,12,6,17,24,yes,no,5
472,653,23,24,2,11,10,no,yes,1
473,3276,32,5,48,19,18,yes,no,5
474,1185,17,8,14,13,8,no,yes,1
475,503,20,12,6,12,10,no,yes,1
476,1140,23,28,14,12,8,yes,no,1
477,3666,39,3,20,21,22,no,no,4
478,1100,17,8,10,11,6,yes,no,1
479,1112,23,24,10,13,10,yes,no,2
480,3662,30,1,60,19,20,no,no,5
481,4046,37,5,44,19,12,no,no,1
482,2815,15,20,10,23,24,no,no,5
483,4041,37,3,40,17,24,no,no,5
484,731,19,28,14,11,8,no,yes,2
485,2419,15,24,14,23,22,no,no,5
486,2688,17,28,10,21,14,yes,no,2
487,2914,21,12,2,19,26,no,no,4
488,691,18,20,14,11,4,no,yes,2
489,714,16,8,6,11,6,no,yes,2
490,4213,34,3,60,23,12,no,no,2
491,2460,23,20,14,15,30,yes,no,4
492,3557,34,1,20,17,26,no,no,4
493,4166,36,1,28,15,24,no,no,5
494,3268,37,3,52,21,18,yes,no,4
495,3909,38,5,20,17,12,no,no,2
496,3205,30,7,52,19,24,no,no,5
497,1504,19,12,14,19,10,yes,no,2
498,2518,15,28,6,15,12,no,no,1
499,2709,16,24,14,15,22,no,no,4
500,1648,21,8,10,23,4,yes,no,1
501,4248,36,1,44,15,28,yes,no,4
502,3207,35,3,24,19,18,no,no,4
503,865,18,24,2,11,10,no,yes,1
504,662,19,28,6,11,8,no,yes,2
505,1199,19,20,10,13,8,no,yes,1
506,3523,31,3,44,15,22,no,no,4
507,3011,35,7,48,19,14,no,no,1
508,3910,30,5,60,21,28,no,no,4
509,1335,18,16,14,19,8,no,no,2
510,2553,17,8,14,15,26,no,no,5
511,3536,35,1,40,19,14,yes,no,1
512,3831,37,3,60,23,16,no,no,2
513,1659,16,8,2,23,8,no,no,2
514,1561,22,20,6,15,8,no,no,1
515,1078,24,16,6,11,10,no,yes,1
516,983,22,28,10,12,8,no,yes,1
517,4225,33,1,44,23,24,no,no,5
518,4129,36,7,24,21,16,no,no,1
519,2937,21,16,2,19,26,no,no,4
520,596,23,16,10,11,4,yes,no,1
521,2954,23,16,14,19,14,no,no,2
522,560,22,28,10,13,8,yes,no,2
523,1735,18,12,6,21,8,no,no,1
524,3304,38,7,20,21,18,yes,no,5
525,1132,20,20,14,13,4,yes,no,1
526,3960,34,7,28,17,16,yes,no,2
527,2574,16,8,2,15,14,no,no,2
528,3268,33,5,28,23,14,yes,no,1
529,2783,23,8,14,19,28,no,no,4
530,3189,31,5,24,15,26,no,no,5
531,2562,17,12,10,19,22,no,no,4
532,3027,33,5,60,15,26,no,no,4
533,835,18,20,14,12,4,no,yes,2
534,588,22,8,2,11,8,yes,no,1
535,3396,37,1,20,23,30,yes,no,4
536,3921,36,1,52,17,12,no,no,2
537,4346,36,1,52,17,18,no,no,5
538,934,16,24,2,13,6,no,yes,1
539,4145,34,5,16,17,24,no,no,4
540,3844,38,7,20,19,12,yes,no,1
541,3713,35,5,32,21,28,no,no,5
542,1374,18,20,14,17,4,no,no,2
543,1459,22,20,2,21,8,no,no,2
544,1793,15,16,10,15,6,no,no,1
545,1414,19,20,6,15,8,no,no,1
546,3061,39,5,32,23,20,no,no,5
547,3928,38,3,52,21,12,yes,no,1
548,2788,20,12,2,17,30,yes,no,4
549,4230,36,5,56,23,12,no,no,2
550,3350,34,7,32,19,14,no,no,1
551,2448,17,28,14,21,14,yes,no,1
552,2713,20,28,6,21,18,no,no,4
553,1651,18,12,10,19,4,no,no,2
554,4045,35,3,56,23,30,no,no,5
555,3856,37,1,40,23,22,yes,no,5
556,2780,21,28,2,15,12,yes,no,1
557,4311,30,3,56,15,14,no,no,1
558,2396,15,16,6,19,30,yes,no,4
559,2552,24,24,14,23,16,yes,no,1
560,4200,33,1,44,15,12,yes,no,2
561,4012,31,7,40,19,20,yes,no,5
562,2658,22,20,10,17,18,no,no,4
563,600,21,28,14,12,8,yes,no,1
564,1362,16,12,14,15,10,no,no,1
565,3934,32,3,28,15,24,no,no,4
566,3869,38,7,20,15,24,no,no,5
567,2657,24,28,6,17,12,no,no,2
568,3481,33,1,16,23,20,no,no,4
569,721,22,16,14,13,6,no,yes,1
570,604,21,20,2,12,10,yes,no,1
571,2168,18,28,6,19,24,yes,no,5
572,1218,24,8,2,21,6,no,no,1
573,2886,23,8,10,15,24,no,no,4
574,3708,36,7,52,17,14,yes,no,1
575,3324,37,5,28,23,26,yes,no,5
576,2058,23,24,10,15,16,no,no,2
577,1472,22,28,2,15,10,yes,no,2
578,1879,19,24,2,15,10,no,no,1
579,2004,16,20,10,21,24,yes,no,4
580,3613,32,3,56,21,20,no,no,4
581,2895,24,16,2,23,18,no,no,4
582,3358,35,1,28,15,28,no,no,5
583,2418,15,24,2,15,24,no,no,5
584,4324,33,1,48,15,12,yes,no,1
585,1602,21,8,10,21,4,no,no,1
586,3108,35,7,60,19,18,yes,no,4
587,971,20,24,2,13,10,no,yes,2
588,4279,37,1,52,17,18,no,no,4
589,3327,35,7,24,19,26,no,no,4
590,2765,17,28,10,19,16,no,no,1
591,2375,21,20,10,23,28,no,no,5
592,530,24,20,10,11,8,no,yes,1
593,1198,24,16,10,11,4,no,yes,1
594,1406,21,8,10,17,8,no,no,1
595,3530,37,5,52,19,30,no,no,4
596,1232,24,24,14,23,8,yes,no,2
597,3380,39,7,16,21,28,yes,no,4
598,2605,17,28,10,17,14,no,no,2
599,3918,36,7,24,15,12,no,no,2
600,1879,23,24,6,17,10,no,no,1
601,3204,34,7,24,21,12,yes,no,2
602,1513,24,12,14,15,8,no,no,1
603,3379,34,5,52,21,26,no,no,4
604,3194,32,7,28,15,26,no,no,4
605,3582,38,5,20,23,14,no,no,1
606,1067,16,24,6,13,4,no,yes,2
607,2528,19,24,6,19,18,yes,no,5
608,2677,21,20,2,23,28,no,no,5
609,1839,20,12,2,17,6,no,no,2
610,2602,15,12,10,23,30,no,no,4
611,3975,35,5,48,21,24,no,no,4
612,1269,18,28,10,21,8,no,no,1
613,4088,35,5,40,23,16,yes,no,2
614,1861,18,16,2,19,8,no,no,2
615,2012,18,8,6,23,26,yes,no,5
616,1095,24,16,6,13,10,no,yes,2
617,3228,32,1,52,15,26,yes,no,5
618,738,18,12,2,12,10,no,yes,1
619,2547,17,24,6,15,14,no,no,1
620,1150,15,24,2,12,8,no,yes,1
621,3434,31,5,36,21,26,no,no,4
622,1716,23,12,10,15,6,yes,no,1
623,2588,18,16,14,15,14,yes,no,1
624,2052,23,28,6,17,24,yes,no,5
625,1032,20,16,14,13,8,yes,no,1
626,646,21,8,14,13,6,no,yes,2
627,1130,16,20,14,11,4,no,yes,1
628,3610,32,3,20,23,12,no,no,2
629,4241,39,3,28,17,28,no,no,5
630,990,18,24,14,12,6,no,yes,1
631,773,20,28,2,12,8,no,yes,2
632,1189,23,12,6,12,10,no,yes,2
633,871,24,16,14,12,6,no,yes,2
634,2804,19,28,2,21,20,yes,no,5
635,3666,31,1,32,21,18,no,no,5
636,4007,35,5,40,21,14,no,no,1
637,1287,23,16,6,23,10,no,no,1
638,1028,19,24,2,12,10,yes,no,1
639,3703,37,7,56,23,22,no,no,4
640,3866,32,1,48,17,24,no,no,4
641,795,16,28,14,13,10,no,yes,2
642,1478,16,24,2,23,10,no,no,1
643,2215,22,20,6,23,28,no,no,5
644,3226,37,1,32,15,28,no,no,4
645,3671,39,7,60,19,20,no,no,4
646,2790,16,28,14,17,22,no,no,4
647,2383,19,20,2,21,28,no,no,5
648,2957,21,20,6,19,22,no,no,5
649,2281,18,12,14,15,28,no,no,4
650,4273,33,3,40,23,24,no,no,4
651,565,20,28,10,12,6,no,yes,1
652,2732,22,8,2,17,20,yes,no,4
653,2054,20,24,2,23,30,no,no,4
654,1339,17,24,10,23,4,no,no,2
655,3414,38,7,56,15,16,no,no,1
